area_args,rot_o_mean
"(3.4641016151377544, 3.4641016151377544)",0.001200904599126644
"(3.4641016151377544, 173.20508075688772)",0.03632033311998503
"(173.20508075688772, 173.20508075688772)",0.001105760843418541
"(3.4641016151377544, 346.41016151377545)",0.041056291052472674
"(173.20508075688772, 346.41016151377545)",0.013658353445883722
"(346.41016151377545, 346.41016151377545)",0.0008287539266326429
"(3.4641016151377544, 692.8203230275509)",0.0497830381220948
"(173.20508075688772, 692.8203230275509)",0.036783237969490366
"(346.41016151377545, 692.8203230275509)",0.029757116676729114
"(692.8203230275509, 692.8203230275509)",0.0011458916544538121
"(3.4641016151377544, 3464.1016151377544)",0.2461313307154173
"(173.20508075688772, 3464.1016151377544)",0.20378003834782732
"(346.41016151377545, 3464.1016151377544)",0.23922875620913595
"(692.8203230275509, 3464.1016151377544)",0.22458089044152363
"(3464.1016151377544, 3464.1016151377544)",0.001394360613347427
"(3.4641016151377544, 6928.203230275509)",0.12810223974168922
"(173.20508075688772, 6928.203230275509)",0.17909317690803933
"(346.41016151377545, 6928.203230275509)",0.1635955585254669
"(692.8203230275509, 6928.203230275509)",0.14371018581384618
"(3464.1016151377544, 6928.203230275509)",0.09681042260057807
"(6928.203230275509, 6928.203230275509)",0.0006194753074580707
"(3.4641016151377544, 18000.0)",0.05186789555006441
"(173.20508075688772, 18000.0)",0.05915399894322476
"(346.41016151377545, 18000.0)",0.05706728040927881
"(692.8203230275509, 18000.0)",0.06684670351064484
"(3464.1016151377544, 18000.0)",0.07846039835419091
"(6928.203230275509, 18000.0)",0.07157187598202544
"(18000.0, 18000.0)",0.0011053651964247368
"(3.4641016151377544, 23000.0)",0.05556780791966203
"(173.20508075688772, 23000.0)",0.05947637865312032
"(346.41016151377545, 23000.0)",0.06011133351690081
"(692.8203230275509, 23000.0)",0.06154964846442128
"(3464.1016151377544, 23000.0)",0.0703603810453906
"(6928.203230275509, 23000.0)",0.07150376367540028
"(18000.0, 23000.0)",0.05946280846850165
"(23000.0, 23000.0)",0.0010384672141900025
"(3.4641016151377544, 3.1415926535897934e8)",0.05028228142297855
"(173.20508075688772, 3.1415926535897934e8)",0.056511194013979096
"(346.41016151377545, 3.1415926535897934e8)",0.05478094713836073
"(692.8203230275509, 3.1415926535897934e8)",0.06107206585309435
"(3464.1016151377544, 3.1415926535897934e8)",0.0809254803156881
"(6928.203230275509, 3.1415926535897934e8)",0.06758465317587338
"(18000.0, 3.1415926535897934e8)",0.05920511829431497
"(23000.0, 3.1415926535897934e8)",0.0544553305087044
"(3.1415926535897934e8, 3.1415926535897934e8)",0.0010251322335510862
